CxG,schematicity,Premise,Hypothesis,Gold,Prediction
let-alone,substantive,"A ceasefire, let alone lasting peace, will take long negotiation.",There will be peaceful negotiation of a ceasefire.,1,1
let-alone,substantive,"A ceasefire, let alone lasting peace, will take long negotiation.",Negotiating lasting peace will take less time than negotiating a ceasefire.,2,2
let-alone,substantive,"A ceasefire, let alone lasting peace, will take long negotiation.","It will take long negotiation to achieve a ceasefire, and even longer negotiation to achieve lasting peace.",0,0
let-alone,substantive,It is difficult enough for an individual to be consistent let alone a society.,Both individuals and society will be consistent after difficulty.,1,1
let-alone,substantive,It is difficult enough for an individual to be consistent let alone a society.,It is easier for a society to be consistent than an individual.,2,2
let-alone,substantive,It is difficult enough for an individual to be consistent let alone a society.,It is easier for an individual to be consistent than a society.,0,2
let-alone,substantive,"I would be distressed to hear of any ladies reading it, let alone a girl of your tender years and experience.","I would be distressed to hear of any ladies reading it, let alone a girl living in Ohio.",1,1
let-alone,substantive,"I would be distressed to hear of any ladies reading it, let alone a girl of your tender years and experience.","I would like to hear of ladies reading anything they like, no matter the age of them.",2,1
let-alone,substantive,"I would be distressed to hear of any ladies reading it, let alone a girl of your tender years and experience.",I would be distressed to hear of a girl of your tender years and experience reading it.,0,0
let-alone,substantive,"None of these arguments is notably strong, let alone conclusive.",The arguments are not presented in a convincing order.,1,1
let-alone,substantive,"None of these arguments is notably strong, let alone conclusive.",All of the given arguments are strong and conclusive.,2,2
let-alone,substantive,"None of these arguments is notably strong, let alone conclusive.",None of these arguments is conclusive.,0,0
let-alone,substantive,"Even so, such vague promises are no grounds for satisfaction, let alone complacency.",Ambiguous promises given are not to be happily accepted.,1,0
let-alone,substantive,"Even so, such vague promises are no grounds for satisfaction, let alone complacency.",The speaker is more complacent than satisfied when hearing vague promises.,2,0
let-alone,substantive,"Even so, such vague promises are no grounds for satisfaction, let alone complacency.",The promises given are vague and the speaker will not be satisfied nor complacent.,0,0
let-alone,substantive,"Mr Brown claimed that the Government had failed to face the failures of the present, let alone the challenges of the future.",Mr Brown claimed that the Government had failed to adequately tax the aging population who would be retiring in the near future.,1,2
